logo,title,company,location,min_company_size,max_company_size,type_of_work,requirement,job_level,description,min_work_experience,max_work_experience,qualification,currency,min_salary,max_salary,time,link
https://jobindo.com/mobile/thumbnails/no-logo.gif,Marketing Properti Freelance,PT. Oneway Success,"Surabaya, Jawa Timur",0,0,,"Persyaratan Persyaratan 
 
 Laki-laki / Perempuan. 
 Usia Bebas. 
 Menyukai dan memiliki bakat Marketing. 
 Memiliki database banyak calon pembeli Tanah Kavling / Rumah. 
 Mempunyai jaringan yg luas untuk marketing. 
 Penampilan menarik. 
 Memiliki komitmen dan kemauan yg keras untuk sukses di bidang property. 
 Punya keinginan cepat kaya, karena Komisi BESAR hingga 7%. 
 
 Deskripsi kerja : 
 
 Tidak ada kewajiban untuk datang ke kantor marketing. 
 Mencari para calon pembeli Tanah Kavling / Rumah sebanyak-banyaknya. 
 Hanya wajib datang ke kantor untuk membawa calon pembeli. 
 Mengajak para calon pembeli untuk datang ke acara ""Customer Gathering"" yg diadakan rutin. 
 Mengajak orang sebanyak-banyaknya walaupun hanya sedikit tertarik dengan Tanah Kavling/Rumah untuk datang ke ""Customer Gathering"". 
 
 Mengapa Anda HARUS bergabung dengan kami ? 
 
 Karena Anda akan mendapatkan komisi penjualan yg SANGAT TINGGI hingga 7%. 
 Karena ada cara pembayaran yg sangat mudah bagi pembeli (cicilan inhouse 50x lebih) 
 Karena ada Keuntungan yg SANGAT BESAR bagi pembeli (investor) hingga 47% LEBIH. 
 Karena ada Fasilitas Perumahan yg SANGAT MEWAH : Kolam renang, Futsal outdoor, gedung Badminton, Playground, Jogging track, Taman Olahraga.",,,0,2,SLTA/Sederajat ,,0,0,31/03/2016 22:08:00,https://jobindo.com/Lowongan-Pekerjaan-marketing-properti-freelance-4119.html
https://jobindo.com/mobile/thumbnails/35516854.jpg,Pelaksana Proyek,PT Andalan Bangun Bersama,"Jakarta Barat, DKI Jakarta",0,0,,"Persyaratan 
 Pria 
 Umur minimal 25 tahun 
 Mengerti dan memahami situasi di lapangan 
 Bersedia ditempatkan di proyek 
 Dapat bekerja sama dalam team 
 Jujur, disiplin dan cekatan dalam bekerja",,"
 Deskripsi Pekerjaan
Membantu ketua pelaksana dalam memantau proyek
Memahami gambar dan spesifikasi teknis
Membantu mengendalikan pelaksanaan pekerjaan sesuai persyaratan waktu, mutu dan biaya yang di tetapkan
Mengupayakan keefisiensi dan efektifitas dalam pemakaian bahan. alat dan tenaga di lapangan
Menerapkan program keselamatan dan kebersihan di lapangan
Membantu ketua pelaksana dalam membuat absensi tukang dan pengambilanm mandor setiap sabtu
Memeriksa hasil pelaksanaan pekerjaan di lapangan
 ",2,5,Sarjana ,,0,0,17/11/2021 16:07:00,https://jobindo.com/Lowongan-Pekerjaan-pelaksana-proyek-60088.html
,Supir Pick Up,Agung Wash,,0,0,,,,,0,0,,IDR,2.500.000 , 3.500.000 ,25/12/2022 05:33:11,https://www.jobstreet.co.id/id/job/supir-pick-up-4156032?jobId=jobstreet-id-job-4156032&sectionRank=22750&token=0~95f0296e-e66a-420e-b573-d4d4c0225e17&fr=SRP%20Job%20Listing
https://jobindo.com/mobile/thumbnails/72760076.jpg,Users Support Associate,PT. Teknologi Kreasi Anak Bangsa,"Bandung, Jawa Barat",0,0,,"Persyaratan 
 Memiliki pengalaman kerja diutamakan, tetapi lulusan baru diperbolehkan untuk melamar 
 Memiliki kemampuan filing dokumen dengan baik 
 Dapat mengoperasikan komputer, terutama Microsoft Office (dasar) 
 Kemampuan komunikasi yang kuat 
 Dapat multitasking dan bekerja dengan baik di dalam tim 
 Disiplin, cekatan, dan terbiasa bekerja dalam target",,"
 Deskripsi Pekerjaan
Menjaga dan mengelola hubungan baik dengan dengan Agent/User.
Melayani Agent/User UrbanIndo menggunakan semua media yang tersedia, seperti BBM, WhatsApp, telepon dan live chat.
Membantu dan menangani Agent/User untuk posting iklan properti.
Menginformasikan Agent/User mengenai promo yang sedang berlangsung.

",0,0,Diploma 3 ,,0,0,22/12/2016 16:20:00,https://jobindo.com/Lowongan-Pekerjaan-users-support-associate-13782.html
https://jobindo.com/mobile/thumbnails/68904098.jpg,Strategic Business Development,PT Jawara Edukasih Indonesia (ALL-inEduspace),"Jakarta Barat, DKI Jakarta",0,0,,"Persyaratan 
 A Bachelor’s degree with 2+ years working experience in business development or marketing 
 Strong research, strategic analysis, and problem solving skills 
 Possess quality leadership, socially adept, great negotiation skills 
 Excellent communication skills in English (both written and spoken) 
 Fluent with word processing, excel spreadsheet, and presentation software 
 Experience in education sector is preferred but not required 
 Passionate about the education industry 
 Think ALL-in Eduspace is an awesome idea (learn more about us: www.all-inedu.com) and have ideas on how to make it even better 
 A resourceful person, a self-starter and a fast learner who’s looking for immense opportunity to grow personally and professionally 
 Great interpersonal skills, excellent time management, pay attention to details, and think outside the box",,"
 Deskripsi Pekerjaan
B2C and B2B lead generations through marketing initiatives, networking, etc
Pitch our services to new clients: preparing presentation materials, contacting clients, developing quotes and proposals, and negotiating deals
Maintain good working relationships with existing and new contacts
Oversee the development of new business initiatives and marketing campaigns, write reports, and provide management with feedback

",2,5,Sarjana ,,0,0,27/09/2016 11:15:00,https://jobindo.com/Lowongan-Pekerjaan-strategic-business-development-10245.html
https://image-service-cdn.seek.com.au/1d0601e376e9587c1f3d6ce86678c4e05875f7a1/a868bcb8fbb284f4e8301904535744d488ea93c1,Analytical Method Development,PT Bintang Kupu Kupu,Tangerang,51,200,Kontrak,"Layanan Kesehatan ,  Farmasi",Pegawai (non-manajemen & non-supervisor),"Melakukan Trial pengembangan metode analisa kimia fisika dan mikrobiologi yang dipersyaratkan BPOM dan yang dibutuhkan dalam pengembangan produk R & D. Melakukan validasi metode analisa kimia fisika dan mikrobiologi. membuat laporan secara bik dan rapih tentang pengembangan metode analisa yang dilakukan. Mengarsipkan semua dokumen-dokumen pelaporan beserta kelengkapannya secara baik dan rapih. Kualifikasi : Usia maksimal 25 tahun Pendidikan D3 Analis Kimia / D3 Analis Farmasi dan Makanan / S1 Kimia. Diutamakan memiliki pengalaman bekerja selama 1 tahun sebagai analyst. Terbuka untuk Fresh Graduate. Dapat melakukan analisa kimia dan mikrobiologi. Dapat melakuakan analisa Instrument HPLC. Dapat melakukan validasi metode analisa kimia fisika dan mikrobiologi. Dapat mengoperasikan Komputer ( Ms. Office ). Bertanggungjawab, jujur, inisiatif, teliti, cekatan dan disiplin. Mampu bekerja dalam tim ataupun individu.",1,0,,,0,0,27/12/2022 04:16:01,https://www.jobstreet.co.id/id/job/analytical-method-development-4158031?jobId=jobstreet-id-job-4158031&sectionRank=16342&token=0~6810fe50-f65b-4e96-a1dd-0f212357fbf1&fr=SRP%20Job%20Listing
https://jobindo.com/mobile/thumbnails/33197899.jpg,Management Trainee,PT. SMART BUSINESS SOLUTION,"Surabaya, Jawa Timur",0,0,,"Persyaratan 
 Pria max.30th 
 Min. S1 T.Industri/ Psikologi, IPK min. 2,75 
 Memiliki motivasi yang tinggi, mau bekerja keras, bersedia dididik dan bertanggungjawab",,"
 Deskripsi Pekerjaan
Mensupervisi kebutuhan klien
Kontrol kegiatan Advisory HRD
Kontrol produktifitas kerja
 ",0,2,Sarjana ,,0,0,25/01/2018 14:10:00,https://jobindo.com/Lowongan-Pekerjaan-management-trainee-29216.html
https://jobindo.com/mobile/thumbnails/72396425.jpg,Salex Executive Garam Industri,Wahana Persada Nusantara,"Jakarta Utara, DKI Jakarta",0,0,,"Persyaratan 
 Mampu berkomunikasi dengan baik ke semua pihak 
 Mau mengikuti arahan dari management 
 Jujur dan berintegritas 
 Menguasai area Jakarta, Bekasi, dan Tangerang 
 Memiliki kendaraan pribadi (SIM C) 
 Memiliki pengalaman di bidang penjualan perusahaan ke perusahaan 
 Pengalaman di bidang penjualan bahan makanan lebih diutamakan",,,0,2,SLTA/Sederajat ,,0,0,31/07/2019 11:25:00,https://jobindo.com/Lowongan-Pekerjaan-salex-executive-garam-47406.html
https://jobindo.com/mobile/thumbnails/47942728.jpg,Store Keeper,PT. Mitra Cipta Hardi Elektrindo,"Jakarta Pusat, DKI Jakarta",0,0,,"Persyaratan 
 Pendidikan min SLTA 
 Usia Max. 25 tahun 
 Lebih disukai berpengalaman sebagai admin sales/kasir/kru toko 
 Menguasai Ms. Office (khususnya Ms. Excel) 
 Penampilan menarik",,"
 Deskripsi Pekerjaan
Menarik dan melayani calon pembeli di showroom
Menjelaskan produk perusahaan
Melakukan transaksi penjualan
Mengelola administrasi transaksi showroom
 ",2,5,SLTA/Sederajat ,,0,0,02/03/2018 14:25:00,https://jobindo.com/Lowongan-Pekerjaan-store-keeper-30604.html
https://jobindo.com/mobile/thumbnails/87331730.jpg,Accounting,PT Karya Indah Abadi Terus,"Jakarta Barat, DKI Jakarta",0,0,,"Persyaratan 
 Kompeten di bidang akuntansi 
 Memiliki pengetahuan dasar mengenai pajak 
 Pria minimal 2 tahun pengalaman kerja. Usia 26-30 tahun 
 Wanita minimal 5 tahun pengalaman kerja. Usia minimal 30 tahun 
 Belum menikah",,"
 Deskripsi Pekerjaan
Membuat pembukuan perusahaan
Berhubungan dengan konsultan pajak untuk mengatur pajak perusahaan

",2,5,Sarjana ,,0,0,27/03/2018 13:18:00,https://jobindo.com/Lowongan-Pekerjaan-accounting-31587.html
